iShares Edge MSCI Min Vol USA ETF
Inception Date,"Oct 18, 2011"
Fund Holdings as of,"04-Jan-2017"
Total Net Assets,"$12,341,083,001"
Shares Outstanding,"271,000,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"T","AT&T INC","Equity","1.6494","42.77","4,750,417","$203,175,335","203,175,335.09","Telecommunications","2831811","US00206R1023","New York Stock Exchange Inc."
"ADP","AUTOMATIC DATA PROCESSING INC","Equity","1.5907","103.66","1,890,297","$195,948,187","195,948,187.02","Information Technology","2065308","US0530151036","NASDAQ"
"VZ","VERIZON COMMUNICATIONS INC","Equity","1.5588","54.52","3,521,871","$192,012,407","192,012,406.92","Telecommunications","2090571","US92343V1044","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.4521","115.65","1,546,680","$178,873,542","178,873,542.00","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"PEP","PEPSICO INC","Equity","1.4435","104.85","1,695,842","$177,809,034","177,809,033.70","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","1.3735","115.11","1,469,834","$169,192,592","169,192,591.74","Industrials","2517382","US9113121068","New York Stock Exchange Inc."
"XOM","EXXON MOBIL CORP","Equity","1.3578","89.89","1,860,663","$167,254,997","167,254,997.07","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","1.3417","119.48","1,383,285","$165,274,892","165,274,891.80","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"BDX","BECTON DICKINSON","Equity","1.3152","164.94","982,216","$162,006,707","162,006,707.04","Health Care","2087807","US0758871091","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.2883","84.50","1,878,074","$158,697,253","158,697,253.00","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"SYK","STRYKER CORP","Equity","1.2769","120.10","1,309,661","$157,290,286","157,290,286.10","Health Care","2853688","US8636671013","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","1.2684","80.15","1,949,384","$156,243,128","156,243,127.60","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"PAYX","PAYCHEX INC","Equity","1.2612","61.29","2,534,750","$155,354,828","155,354,827.50","Information Technology","2674458","US7043261079","NASDAQ"
"UNH","UNITEDHEALTH GROUP INC","Equity","1.2550","161.91","954,777","$154,587,944","154,587,944.07","Health Care","2917766","US91324P1021","New York Stock Exchange Inc."
"DUK","DUKE ENERGY CORP","Equity","1.2504","77.65","1,983,641","$154,029,724","154,029,723.65","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"SO","SOUTHERN","Equity","1.2493","48.99","3,141,349","$153,894,688","153,894,687.51","Utilities","2829601","US8425871071","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","1.2401","164.08","930,963","$152,752,409","152,752,409.04","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"WM","WASTE MANAGEMENT INC","Equity","1.2271","70.32","2,149,514","$151,153,824","151,153,824.48","Industrials","2937667","US94106L1098","New York Stock Exchange Inc."
"ED","CONSOLIDATED EDISON INC","Equity","1.2252","73.56","2,051,667","$150,920,625","150,920,624.52","Utilities","2216850","US2091151041","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","1.2234","33.29","4,526,772","$150,696,240","150,696,239.88","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"AVB","AVALONBAY COMMUNITIES REIT INC","Equity","1.2206","177.35","847,780","$150,353,783","150,353,783.00","Real Estate","2131179","US0534841012","New York Stock Exchange Inc."
"GIS","GENERAL MILLS INC","Equity","1.1786","62.07","2,338,932","$145,177,509","145,177,509.24","Consumer Staples","2367026","US3703341046","New York Stock Exchange Inc."
"RSG","REPUBLIC SERVICES INC","Equity","1.1689","56.97","2,527,450","$143,988,827","143,988,826.50","Industrials","2262530","US7607591002","New York Stock Exchange Inc."
"ACN","ACCENTURE PLC","Equity","1.1409","116.74","1,203,857","$140,538,266","140,538,266.18","Information Technology","B4BNMY3","IE00B4BNMY34","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","1.1173","41.65","3,304,370","$137,627,011","137,627,010.50","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"FISV","FISERV INC","Equity","1.0529","108.65","1,193,699","$129,695,396","129,695,396.35","Information Technology","2342034","US3377381088","NASDAQ"
"CB","CHUBB LTD","Equity","1.0405","131.52","974,543","$128,171,895","128,171,895.36","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"ACGL","ARCH CAPITAL GROUP LTD","Equity","1.0204","86.50","1,453,135","$125,696,178","125,696,177.50","Financials","2740542","BMG0450A1053","NASDAQ"
"MO","ALTRIA GROUP INC","Equity","1.0030","67.85","1,820,974","$123,553,086","123,553,085.90","Consumer Staples","2692632","US02209S1033","New York Stock Exchange Inc."
"BCR","C R BARD INC","Equity","0.9960","227.38","539,575","$122,688,564","122,688,563.50","Health Care","2077905","US0673831097","New York Stock Exchange Inc."
"NLY","ANNALY CAPITAL MANAGEMENT REIT INC","Equity","0.9835","10.11","11,982,783","$121,145,936","121,145,936.13","Financials","2113456","US0357104092","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.9761","60.13","1,999,568","$120,234,024","120,234,023.84","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"PSA","PUBLIC STORAGE REIT","Equity","0.9688","225.16","529,991","$119,332,774","119,332,773.56","Real Estate","2852533","US74460D1090","New York Stock Exchange Inc."
"TJX","TJX INC","Equity","0.9639","76.62","1,549,728","$118,740,159","118,740,159.36","Consumer Discretionary","2989301","US8725401090","New York Stock Exchange Inc."
"ISRG","INTUITIVE SURGICAL INC","Equity","0.9437","629.49","184,665","$116,244,771","116,244,770.85","Health Care","2871301","US46120E6023","NASDAQ"
"XEL","XCEL ENERGY INC","Equity","0.9212","40.80","2,781,138","$113,470,430","113,470,430.40","Utilities","2614807","US98389B1008","New York Stock Exchange Inc."
"AZO","AUTOZONE INC","Equity","0.9166","793.04","142,376","$112,909,863","112,909,863.04","Consumer Discretionary","2065955","US0533321024","New York Stock Exchange Inc."
"MDT","MEDTRONIC PLC","Equity","0.8496","71.27","1,468,429","$104,654,935","104,654,934.83","Health Care","BTN1Y11","IE00BTN1Y115","New York Stock Exchange Inc."
"LLY","ELI LILLY","Equity","0.8432","74.72","1,390,088","$103,867,375","103,867,375.36","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"SNPS","SYNOPSYS INC","Equity","0.8148","59.57","1,684,919","$100,370,625","100,370,624.83","Information Technology","2867719","US8716071076","NASDAQ"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.8096","169.26","589,196","$99,727,315","99,727,314.96","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"NEM","NEWMONT MINING CORP","Equity","0.8088","34.96","2,849,954","$99,634,392","99,634,391.84","Materials","2636607","US6516391066","New York Stock Exchange Inc."
"D","DOMINION RESOURCES INC","Equity","0.7884","76.18","1,274,753","$97,110,684","97,110,683.54","Utilities","2542049","US25746U1097","New York Stock Exchange Inc."
"CLX","CLOROX","Equity","0.7783","121.93","786,244","$95,866,731","95,866,730.92","Consumer Staples","2204026","US1890541097","New York Stock Exchange Inc."
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Equity","0.7774","87.32","1,096,728","$95,766,289","95,766,288.96","Real Estate","BTGQCX1","US22822V1017","New York Stock Exchange Inc."
"CL","COLGATE-PALMOLIVE","Equity","0.7722","66.26","1,435,542","$95,119,013","95,119,012.92","Consumer Staples","2209106","US1941621039","New York Stock Exchange Inc."
"K","KELLOGG","Equity","0.7461","73.18","1,255,812","$91,900,322","91,900,322.16","Consumer Staples","2486813","US4878361082","New York Stock Exchange Inc."
"CSCO","CISCO SYSTEMS INC","Equity","0.7098","30.10","2,904,853","$87,436,075","87,436,075.30","Information Technology","2198163","US17275R1023","NASDAQ"
"DHR","DANAHER CORP","Equity","0.7089","79.28","1,101,398","$87,318,833","87,318,833.44","Health Care","2250870","US2358511028","New York Stock Exchange Inc."
"HD","HOME DEPOT INC","Equity","0.6954","135.50","632,199","$85,662,965","85,662,964.50","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"RE","EVEREST RE GROUP LTD","Equity","0.6777","217.80","383,271","$83,476,424","83,476,423.80","Financials","2556868","BMG3223R1088","New York Stock Exchange Inc."
"DPS","DR PEPPER SNAPPLE GROUP INC","Equity","0.6769","91.29","913,326","$83,377,531","83,377,530.54","Consumer Staples","B2QW0Z8","US26138E1091","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","0.6739","106.39","780,230","$83,008,670","83,008,669.70","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"SPG","SIMON PROPERTY GROUP REIT INC","Equity","0.6691","184.08","447,777","$82,426,790","82,426,790.16","Real Estate","2812452","US8288061091","New York Stock Exchange Inc."
"CHD","CHURCH AND DWIGHT INC","Equity","0.6686","44.70","1,842,560","$82,362,432","82,362,432.00","Consumer Staples","2195841","US1713401024","New York Stock Exchange Inc."
"MKL","MARKEL CORP","Equity","0.6540","914.89","88,053","$80,558,809","80,558,809.17","Financials","2566436","US5705351048","New York Stock Exchange Inc."
"NEE","NEXTERA ENERGY INC","Equity","0.6414","119.07","663,521","$79,005,445","79,005,445.47","Utilities","2328915","US65339F1012","New York Stock Exchange Inc."
"O","REALTY INCOME REIT CORP","Equity","0.6372","58.35","1,345,118","$78,487,635","78,487,635.30","Real Estate","2724193","US7561091049","New York Stock Exchange Inc."
"RTN","RAYTHEON","Equity","0.6369","146.68","534,888","$78,457,372","78,457,371.84","Industrials","2758051","US7551115071","New York Stock Exchange Inc."
"VAR","VARIAN MEDICAL SYSTEMS INC","Equity","0.6343","89.14","876,543","$78,135,043","78,135,043.02","Health Care","2927516","US92220P1057","New York Stock Exchange Inc."
"AET","AETNA INC","Equity","0.6171","123.98","613,099","$76,012,014","76,012,014.02","Health Care","2695921","US00817Y1082","New York Stock Exchange Inc."
"CTAS","CINTAS CORP","Equity","0.6164","117.31","647,244","$75,928,194","75,928,193.64","Industrials","2197137","US1729081059","NASDAQ"
"MSFT","MICROSOFT CORP","Equity","0.6136","62.30","1,213,194","$75,581,986","75,581,986.20","Information Technology","2588173","US5949181045","NASDAQ"
"CMCSA","COMCAST A CORP","Equity","0.6115","69.87","1,078,023","$75,321,467","75,321,467.01","Consumer Discretionary","2044545","US20030N1019","NASDAQ"
"AGNC","AGNC INVESTMENT REIT CORP","Equity","0.6114","18.90","3,984,655","$75,309,980","75,309,979.50","Financials","BYYHJL8","US00123Q1040","NASDAQ"
"MKC","MCCORMICK & CO NON-VOTING INC","Equity","0.6099","93.32","805,081","$75,130,159","75,130,158.92","Consumer Staples","2550161","US5797802064","New York Stock Exchange Inc."
"EQR","EQUITY RESIDENTIAL REIT","Equity","0.6030","64.28","1,155,476","$74,273,997","74,273,997.28","Real Estate","2319157","US29476L1070","New York Stock Exchange Inc."
"FB","FACEBOOK CLASS A INC","Equity","0.6008","118.69","623,518","$74,005,351","74,005,351.42","Information Technology","B7TL820","US30303M1027","NASDAQ"
"PCG","PG&E CORP","Equity","0.5999","60.59","1,219,559","$73,893,080","73,893,079.81","Utilities","2689560","US69331C1080","New York Stock Exchange Inc."
"FIS","FIDELITY NATIONAL INFORMATION SERV","Equity","0.5994","78.24","943,644","$73,830,707","73,830,706.56","Information Technology","2769796","US31620M1062","New York Stock Exchange Inc."
"MMC","MARSH & MCLENNAN INC","Equity","0.5874","68.29","1,059,615","$72,361,108","72,361,108.35","Financials","2567741","US5717481023","New York Stock Exchange Inc."
"MMM","3M CO","Equity","0.5828","178.32","402,579","$71,787,887","71,787,887.28","Industrials","2595708","US88579Y1010","New York Stock Exchange Inc."
